ts,open,high,low,close,volume
1782131400000,1767.16,1767.37,1761.29,1764.0,5682.313
1782133200000,1764.0,1766.85,1762.23,1764.44,4353.7847
1782135000000,1764.44,1779.9,1762.06,1777.51,16262.5743
1782136800000,1777.52,1778.0,1754.89,1755.39,8780.0117
1782138600000,1755.38,1759.26,1749.85,1754.61,8357.5787
1782140400000,1754.62,1758.06,1751.13,1754.15,5995.7824
1782142200000,1754.16,1756.44,1742.41,1744.74,7115.9062
1782144000000,1744.75,1746.29,1737.0,1741.93,8402.2562
1782145800000,1741.93,1742.86,1733.71,1740.1,8628.7546
1782147600000,1740.1,1743.12,1733.92,1734.39,3704.4761
1782149400000,1734.39,1742.27,1731.32,1740.93,5380.4673
1782151200000,1740.92,1747.7,1740.7,1741.72,4031.9109
1782153000000,1741.72,1743.0,1729.42,1733.51,8539.2826
1782154800000,1733.51,1736.82,1729.15,1731.38,7311.6628
1782156600000,1731.39,1735.8,1730.01,1734.59,3657.3315
1782158400000,1734.59,1740.07,1732.04,1733.79,3267.2907
1782160200000,1733.79,1736.87,1731.14,1734.61,2268.009
1782162000000,1734.61,1737.53,1731.33,1734.01,2479.3061
1782163800000,1734.01,1734.12,1726.83,1732.74,3225.9861
1782165600000,1732.74,1735.93,1718.0,1722.28,5928.2843
1782167400000,1722.28,1725.42,1717.02,1724.15,5413.3889
1782169200000,1724.16,1727.56,1721.38,1726.76,2812.5612
1782171000000,1726.76,1730.6,1724.84,1728.19,3454.2309
1782172800000,1728.19,1728.57,1719.75,1721.8,2988.2397
1782174600000,1721.8,1731.74,1721.8,1731.27,2638.7702
1782176400000,1731.26,1736.25,1731.26,1733.76,1999.9204
1782178200000,1733.74,1734.8,1721.22,1730.61,3962.1032
1782180000000,1730.61,1733.35,1726.36,1730.88,1575.1773
1782181800000,1730.89,1735.04,1730.4,1732.65,1561.9652
1782183600000,1732.65,1733.11,1725.98,1729.66,2061.9371
1782185400000,1729.66,1730.5,1726.69,1729.9,1941.5625
1782187200000,1729.91,1731.25,1724.85,1727.99,1941.8933
1782189000000,1727.98,1727.99,1717.75,1719.07,4040.9008
1782190800000,1719.07,1721.38,1710.5,1713.6,6066.3707
1782192600000,1713.59,1715.03,1710.64,1713.44,3658.4592
1782194400000,1713.51,1713.7,1680.52,1687.39,19566.735
1782196200000,1687.39,1693.34,1683.56,1692.29,5798.7063
1782198000000,1692.3,1696.47,1691.21,1693.4,3542.8746
1782199800000,1693.4,1693.64,1682.34,1683.01,7300.7104
1782201600000,1683.02,1684.8,1635.65,1642.16,34000.0561
1782203400000,1642.15,1652.44,1641.84,1648.48,11421.5224
1782205200000,1648.47,1654.39,1648.15,1653.8,4342.3938
1782207000000,1653.8,1654.31,1648.26,1650.97,5323.4461
1782208800000,1650.97,1658.91,1650.91,1654.01,4727.4694
1782210600000,1654.0,1654.26,1649.37,1652.65,2976.1522
1782212400000,1652.65,1663.51,1652.65,1660.65,4821.6863
1782214200000,1660.64,1663.9,1657.98,1660.9,3643.4337
1782216000000,1660.9,1662.59,1656.21,1658.38,3439.9059
1782217800000,1658.38,1660.85,1653.6,1654.53,5330.4214
