series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-15m,XL,PB,1.0,mid,2862,-13.18,-6.18,-7.0,-5.3,0.064,False
SOLUSDT-15m,XLtrend,PB,1.0,mid,1372,-13.17,-6.17,-7.2,-5.0,0.055,False
SOLUSDT-15m,loud,PB,1.5,low,4623,-12.46,-5.46,-7.0,-3.8,0.127,False
SOLUSDT-15m,uwd10,PB,1.5,low,3739,-11.83,-4.83,-6.2,-3.2,0.082,False
SOLUSDT-15m,uwd910,PB,1.5,low,7347,-12.29,-5.29,-6.3,-4.2,0.113,False
SOLUSDT-15m,prevBull,PB,1.5,low,6055,-12.39,-5.39,-6.4,-4.3,0.139,False
SOLUSDT-15m,smaAbove,PB,1.5,low,6878,-12.01,-5.01,-5.8,-4.1,0.133,False
SOLUSDT-15m,trendHi,PB,1.5,low,4967,-12.16,-5.16,-6.2,-4.0,0.136,False
SOLUSDT-15m,XL,PB,1.5,low,2862,-13.38,-6.38,-8.3,-4.1,0.097,False
SOLUSDT-15m,XLtrend,PB,1.5,low,1372,-14.23,-7.23,-9.2,-5.3,0.088,False
SOLUSDT-15m,loud,PB,1.5,mid,4623,-12.82,-5.82,-6.6,-5.0,0.066,False
SOLUSDT-15m,uwd10,PB,1.5,mid,3739,-12.13,-5.13,-5.8,-4.4,0.039,False
SOLUSDT-15m,uwd910,PB,1.5,mid,7347,-12.07,-5.07,-5.7,-4.3,0.057,False
SOLUSDT-15m,prevBull,PB,1.5,mid,6055,-12.2,-5.2,-6.0,-4.3,0.07,False
SOLUSDT-15m,smaAbove,PB,1.5,mid,6878,-12.1,-5.1,-5.7,-4.5,0.069,False
SOLUSDT-15m,trendHi,PB,1.5,mid,4967,-12.26,-5.26,-5.9,-4.5,0.071,False
SOLUSDT-15m,XL,PB,1.5,mid,2862,-13.23,-6.23,-7.1,-5.3,0.048,False
SOLUSDT-15m,XLtrend,PB,1.5,mid,1372,-13.14,-6.14,-7.4,-4.7,0.044,False
SOLUSDT-30m,loud,MKT,1.0,low,2723,-22.95,-15.95,-20.1,-11.8,0.437,False
SOLUSDT-30m,uwd10,MKT,1.0,low,2045,-17.9,-10.9,-14.8,-7.0,0.358,False
SOLUSDT-30m,uwd910,MKT,1.0,low,4089,-21.5,-14.5,-17.4,-11.6,0.393,False
SOLUSDT-30m,prevBull,MKT,1.0,low,3520,-21.54,-14.54,-17.5,-11.5,0.424,False
SOLUSDT-30m,smaAbove,MKT,1.0,low,3859,-21.38,-14.38,-17.1,-11.7,0.433,False
SOLUSDT-30m,trendHi,MKT,1.0,low,2823,-21.2,-14.2,-17.7,-10.9,0.437,False
SOLUSDT-30m,XL,MKT,1.0,low,1682,-20.53,-13.53,-19.1,-7.9,0.397,False
SOLUSDT-30m,XLtrend,MKT,1.0,low,823,-16.48,-9.48,-18.1,-0.6,0.39,False
SOLUSDT-30m,loud,MKT,1.0,mid,2723,-23.01,-16.01,-19.9,-12.0,0.401,False
SOLUSDT-30m,uwd10,MKT,1.0,mid,2045,-17.66,-10.66,-14.3,-7.0,0.333,False
SOLUSDT-30m,uwd910,MKT,1.0,mid,4089,-21.48,-14.48,-17.3,-11.7,0.363,False
SOLUSDT-30m,prevBull,MKT,1.0,mid,3520,-21.94,-14.94,-17.9,-11.9,0.383,False
SOLUSDT-30m,smaAbove,MKT,1.0,mid,3859,-21.8,-14.8,-17.4,-12.2,0.396,False
SOLUSDT-30m,trendHi,MKT,1.0,mid,2823,-21.6,-14.6,-18.0,-11.4,0.404,False
SOLUSDT-30m,XL,MKT,1.0,mid,1682,-20.66,-13.66,-19.0,-8.1,0.365,False
SOLUSDT-30m,XLtrend,MKT,1.0,mid,823,-17.28,-10.28,-18.5,-1.5,0.361,False
SOLUSDT-30m,loud,MKT,1.5,low,2723,-18.42,-11.42,-16.3,-6.3,0.382,False
SOLUSDT-30m,uwd10,MKT,1.5,low,2045,-13.94,-6.94,-11.3,-2.4,0.311,False
SOLUSDT-30m,uwd910,MKT,1.5,low,4089,-17.05,-10.05,-13.5,-6.8,0.348,False
SOLUSDT-30m,prevBull,MKT,1.5,low,3520,-16.88,-9.88,-13.3,-6.2,0.379,False
SOLUSDT-30m,smaAbove,MKT,1.5,low,3859,-17.16,-10.16,-13.4,-6.9,0.387,False
SOLUSDT-30m,trendHi,MKT,1.5,low,2823,-16.32,-9.32,-13.4,-5.4,0.39,False
SOLUSDT-30m,XL,MKT,1.5,low,1682,-16.5,-9.5,-15.7,-2.9,0.34,False
SOLUSDT-30m,XLtrend,MKT,1.5,low,823,-12.53,-5.53,-15.5,5.0,0.328,False
SOLUSDT-30m,loud,MKT,1.5,mid,2723,-18.28,-11.28,-15.9,-6.4,0.349,False
SOLUSDT-30m,uwd10,MKT,1.5,mid,2045,-13.67,-6.67,-10.8,-2.2,0.287,False
SOLUSDT-30m,uwd910,MKT,1.5,mid,4089,-17.17,-10.17,-13.4,-7.0,0.32,False
SOLUSDT-30m,prevBull,MKT,1.5,mid,3520,-17.35,-10.35,-13.7,-6.8,0.341,False
SOLUSDT-30m,smaAbove,MKT,1.5,mid,3859,-17.35,-10.35,-13.5,-7.3,0.355,False
SOLUSDT-30m,trendHi,MKT,1.5,mid,2823,-16.4,-9.4,-13.4,-5.5,0.362,False
SOLUSDT-30m,XL,MKT,1.5,mid,1682,-16.75,-9.75,-16.0,-3.3,0.309,False
SOLUSDT-30m,XLtrend,MKT,1.5,mid,823,-13.21,-6.21,-16.0,4.1,0.301,False
SOLUSDT-30m,loud,PB,1.0,low,2361,-12.87,-5.87,-8.1,-3.4,0.175,False
SOLUSDT-30m,uwd10,PB,1.0,low,1914,-13.19,-6.19,-8.2,-4.0,0.119,False
SOLUSDT-30m,uwd910,PB,1.0,low,3747,-12.68,-5.68,-7.2,-4.3,0.156,False
SOLUSDT-30m,prevBull,PB,1.0,low,3161,-10.41,-3.41,-5.1,-1.6,0.199,False
SOLUSDT-30m,smaAbove,PB,1.0,low,3430,-11.17,-4.17,-5.6,-2.7,0.185,False
SOLUSDT-30m,trendHi,PB,1.0,low,2504,-10.4,-3.4,-5.2,-1.4,0.187,False
SOLUSDT-30m,XL,PB,1.0,low,1505,-13.12,-6.12,-8.9,-3.1,0.15,False
