series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
ETHUSDT-1h,trend=1,668,0.5853293413173652,0.9401197604790419,0.9101796407185628,2,0.0,25.294440650604756,-2.622070958073683,0.020194948448966743,0.1054
ETHUSDT-1h,trend=2,699,0.5236051502145923,0.9170243204577968,0.8898426323319027,2,0.0,26.92861715749047,18.30226784431556,-0.008802990306752467,0.4759
ETHUSDT-1h,trend=3,690,0.5101449275362319,0.9028985507246376,0.8724637681159421,2,0.0,33.78173604179935,24.130949342683547,-0.026593488699168222,0.0553
ETHUSDT-1h,trend=4,685,0.5211678832116788,0.9255474452554745,0.8963503649635036,2,0.0,41.64144641611597,29.514029817507044,0.001975746428384051,0.862
ETHUSDT-1h,trend_ge=1,2742,0.5346462436177972,0.9212253829321663,0.8920495988329686,2,0.0,31.502644250573937,14.489939565481604,-0.015634685327219344,0.2436
ETHUSDT-1h,trend_ge=2,2074,0.5183220829315333,0.9151398264223722,0.8862102217936355,2,0.0,33.425533453221036,17.340446752324247,-0.02345666480569797,0.0425
ETHUSDT-1h,trend_ge=3,1375,0.5156363636363637,0.9141818181818182,0.8843636363636364,2,0.0,37.70530524302406,20.423336333563842,-0.01669375785504812,0.103
ETHUSDT-1h,smaal=-1,1347,0.5842613214550854,0.9346696362286563,0.9020044543429844,2,0.0,30.160384755187085,10.13751878987885,0.017960903265506367,0.0897
ETHUSDT-1h,smaal=1,1977,0.5209914011127972,0.9165402124430956,0.8887202832574608,2,0.0,33.6974163621347,26.313613494602215,-0.01832285195364758,0.0896
ETHUSDT-1h,prev=-1,1548,0.5684754521963824,0.9347545219638242,0.896640826873385,2,0.0,32.23999317358048,17.43033051055344,0.02014778039079057,0.0591
ETHUSDT-1h,prev=1,1780,0.5275280898876404,0.9146067415730337,0.8921348314606742,2,0.0,32.91783493755089,17.92930498019658,-0.02014778039079057,0.0591
ETHUSDT-1h,volq=0,698,0.6432664756446992,0.9469914040114613,0.9326647564469914,1,0.0,25.204669496663268,13.068532692321718,0.029120681578001184,0.0345
ETHUSDT-1h,volq=1,670,0.6313432835820896,0.9552238805970149,0.9313432835820895,2,0.0,25.689388681459658,27.409045550806976,0.039121548016126995,0.0037
ETHUSDT-1h,volq=2,630,0.5714285714285714,0.9333333333333333,0.9126984126984127,2,0.0,33.44986185493383,11.748498056356324,0.011539411910056807,0.3924
