entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.0,CQ7_w78q,TIME,12,MKT_MKT,122,-81.44,-144.2,-27.2,0.779,0.003177
PB,1.0,CQ7_w78q,TIME,24,PB_PB,122,-44.64,-116.2,11.8,0.852,0.085887
PB,1.0,CQ7_w78q,TIME,24,PB_MKT,122,-52.14,-123.7,4.3,0.852,0.055234
PB,1.0,CQ7_w78q,TIME,24,MKT_MKT,122,-55.64,-127.2,0.8,0.852,0.044263
PB,1.0,CQ7_w78q,TIME,48,PB_PB,122,-29.07,-115.5,40.4,0.91,0.232327
PB,1.0,CQ7_w78q,TIME,48,PB_MKT,122,-36.57,-123.0,32.9,0.91,0.178831
PB,1.0,CQ7_w78q,TIME,48,MKT_MKT,122,-40.07,-126.5,29.4,0.91,0.156762
PB,1.5,ALL,NOSL,0,PB_PB,749,34.88,-3.3,70.9,0.884,0.065344
PB,1.5,ALL,NOSL,0,PB_MKT,749,27.38,-10.8,63.4,0.884,0.148004
PB,1.5,ALL,NOSL,0,MKT_MKT,749,23.88,-14.3,59.9,0.884,0.207061
PB,1.5,ALL,TIME,12,PB_PB,749,-9.81,-38.1,16.6,0.734,0.241119
PB,1.5,ALL,TIME,12,PB_MKT,749,-17.31,-45.6,9.1,0.734,0.107506
PB,1.5,ALL,TIME,12,MKT_MKT,749,-20.81,-49.1,5.6,0.734,0.068034
PB,1.5,ALL,TIME,24,PB_PB,749,6.19,-30.2,38.3,0.814,0.722838
PB,1.5,ALL,TIME,24,PB_MKT,749,-1.31,-37.7,30.8,0.814,0.470159
PB,1.5,ALL,TIME,24,MKT_MKT,749,-4.81,-41.2,27.3,0.814,0.391535
PB,1.5,ALL,TIME,48,PB_PB,749,34.88,-3.3,70.9,0.884,0.065344
PB,1.5,ALL,TIME,48,PB_MKT,749,27.38,-10.8,63.4,0.884,0.148004
PB,1.5,ALL,TIME,48,MKT_MKT,749,23.88,-14.3,59.9,0.884,0.207061
PB,1.5,quiet,NOSL,0,PB_PB,307,28.97,-32.7,80.1,0.925,0.314218
PB,1.5,quiet,NOSL,0,PB_MKT,307,21.47,-40.2,72.6,0.925,0.455733
PB,1.5,quiet,NOSL,0,MKT_MKT,307,17.97,-43.7,69.1,0.925,0.53242
PB,1.5,quiet,TIME,12,PB_PB,307,-18.19,-58.4,18.7,0.772,0.177348
PB,1.5,quiet,TIME,12,PB_MKT,307,-25.69,-65.9,11.2,0.772,0.095575
PB,1.5,quiet,TIME,12,MKT_MKT,307,-29.19,-69.4,7.7,0.772,0.068733
PB,1.5,quiet,TIME,24,PB_PB,307,12.82,-36.4,56.8,0.866,0.589538
PB,1.5,quiet,TIME,24,PB_MKT,307,5.32,-43.9,49.3,0.866,0.822858
PB,1.5,quiet,TIME,24,MKT_MKT,307,1.82,-47.4,45.8,0.866,0.938962
PB,1.5,quiet,TIME,48,PB_PB,307,28.97,-32.7,80.1,0.925,0.314218
PB,1.5,quiet,TIME,48,PB_MKT,307,21.47,-40.2,72.6,0.925,0.455733
