trade_id,row,symbol,tf,name,signal_time_ms,entry_time_ms,entry_price,tp_price,sl_price,exit_time_ms,exit_price,exit_reason,hold_hours,gross_bps,stake,pnl_cash,exit_equity,skipped,signal_time_utc,entry_time_utc,exit_time_utc 
430,E3,ETHUSDT,1h,W2_NODIP,1735052400000,1735056000000,3491.58,3518.465,,1735063200000,3518.465,TP,2.0,61.999524570538895,196.94,1.221018636892193,641.2615046003688,False,2024-12-24 15:00:00,2024-12-24 16:00:00,2024-12-24 18:00:00
431,E1,SOLUSDT,30m,W2_NODIP,1735054200000,1735056000000,197.75,199.61,,1735088400000,199.61,TP,9.0,79.05815423514606,147.7,1.1676889380531075,630.0618115217146,False,2024-12-24 15:30:00,2024-12-24 16:00:00,2024-12-25 01:00:00
432,E1,SOLUSDT,30m,W2_NODIP,1735056000000,1735057800000,197.04,199.13,,1735088400000,199.13,SKIPPED_MAXOPEN,8.5,91.06983353633798,0.0,0.0,443.1004859634766,True,2024-12-24 16:00:00,2024-12-24 16:30:00,2024-12-25 01:00:00
433,E3,ETHUSDT,1h,W2_NODIP,1735056000000,1735059600000,3478.27,3530.2349999999997,,1735063200000,3530.2349999999997,SKIPPED_MAXOPEN,1.0,134.3989828276692,0.0,0.0,443.1004859634766,True,2024-12-24 16:00:00,2024-12-24 17:00:00,2024-12-24 18:00:00
434,E2,BTCUSDT,30m,W1_NODIP,1735057800000,1735059600000,98423.7,98785.45,,1735059600000,98785.45,SKIPPED_MAXOPEN,0.0,21.754358960291064,0.0,0.0,443.1004859634766,True,2024-12-24 16:30:00,2024-12-24 17:00:00,2024-12-24 17:00:00
435,E2,BTCUSDT,30m,W1_NODIP,1735059600000,1735061400000,98651.1,99144.45,,1735063200000,99144.45,SKIPPED_MAXOPEN,0.5,35.009579214017,0.0,0.0,443.1004859634766,True,2024-12-24 17:00:00,2024-12-24 17:30:00,2024-12-24 18:00:00
436,E2,BTCUSDT,30m,W1_NODIP,1735061400000,1735063200000,98735.2,99088.15,,1735063200000,99088.15,TP,0.0,20.747129696399774,160.32,0.33261798329268116,641.5941225836615,False,2024-12-24 17:30:00,2024-12-24 18:00:00,2024-12-24 18:00:00
437,E1,SOLUSDT,30m,W2_NODIP,1735063200000,1735065000000,195.93,199.56,,1735088400000,199.56,TP,6.5,170.27024957893101,160.4,2.731134803246053,793.1929463249606,False,2024-12-24 18:00:00,2024-12-24 18:30:00,2024-12-25 01:00:00
438,E2,BTCUSDT,30m,W1_NODIP,1735065000000,1735066800000,98560.0,98954.34999999999,,1735077600000,98954.34999999999,SKIPPED_MAXOPEN,3.0,25.011160714284827,0.0,0.0,481.1941225836615,True,2024-12-24 18:30:00,2024-12-24 19:00:00,2024-12-24 22:00:00
439,E2,BTCUSDT,30m,W1_NODIP,1735068600000,1735070400000,97540.0,98494.85,,1735077600000,98494.85,SKIPPED_MAXOPEN,2.0,82.89317203198746,0.0,0.0,481.1941225836615,True,2024-12-24 19:30:00,2024-12-24 20:00:00,2024-12-24 22:00:00
440,E2,BTCUSDT,30m,W1_NODIP,1735070400000,1735072200000,97794.3,98169.44999999998,,1735074000000,98169.44999999998,SKIPPED_MAXOPEN,0.5,23.36113147698584,0.0,0.0,481.1941225836615,True,2024-12-24 20:00:00,2024-12-24 20:30:00,2024-12-24 21:00:00
441,E1,SOLUSDT,30m,W2_NODIP,1735077600000,1735079400000,196.59,198.13,,1735088400000,198.13,SKIPPED_MAXOPEN,2.5,63.33562236125907,0.0,0.0,481.1941225836615,True,2024-12-24 22:00:00,2024-12-24 22:30:00,2024-12-25 01:00:00
442,E2,BTCUSDT,30m,W1_NODIP,1735077600000,1735079400000,98606.0,99294.5,,1735120800000,99294.5,SKIPPED_MAXOPEN,11.5,54.82333732227248,0.0,0.0,481.1941225836615,True,2024-12-24 22:00:00,2024-12-24 22:30:00,2024-12-25 10:00:00
443,E2,BTCUSDT,30m,W1_NODIP,1735081200000,1735083000000,98730.8,99127.1,,1735120800000,99127.1,SKIPPED_MAXOPEN,10.5,25.139449898107067,0.0,0.0,481.1941225836615,True,2024-12-24 23:00:00,2024-12-24 23:30:00,2024-12-25 10:00:00
444,E2,BTCUSDT,30m,W1_NODIP,1735086600000,1735088400000,98394.5,99030.75,,1735120800000,99030.75,TP,9.0,49.663167148570295,198.3,0.9848206045561491,661.9823819053138,False,2024-12-25 00:30:00,2024-12-25 01:00:00,2024-12-25 10:00:00
445,E1,SOLUSDT,30m,W2_NODIP,1735088400000,1735090200000,198.84,200.265,,1735090200000,200.265,TP,0.0,56.66566083282956,148.72,0.8427317079058412,595.7356780328664,False,2024-12-25 01:00:00,2024-12-25 01:30:00,2024-12-25 01:30:00
446,E1,SOLUSDT,30m,W2_NODIP,1735090200000,1735092000000,199.12,200.86,,1735092000000,200.86,TP,0.0,72.384491763761,148.93,1.0780222358376927,596.8137002687041,False,2024-12-25 01:30:00,2024-12-25 02:00:00,2024-12-25 02:00:00
447,E1,SOLUSDT,30m,W2_NODIP,1735092000000,1735093800000,200.06,201.85999999999999,,1735439400000,193.66,TIMEOUT,96.0,-334.90402879136286,149.2,-4.9967681095671335,643.7274427237585,False,2024-12-25 02:00:00,2024-12-25 02:30:00,2024-12-29 02:30:00
448,E2,BTCUSDT,30m,W1_NODIP,1735093800000,1735095600000,98100.6,98442.45,,1735106400000,98442.45,SKIPPED_MAXOPEN,3.0,19.84688167044761,0.0,0.0,447.6137002687041,True,2024-12-25 02:30:00,2024-12-25 03:00:00,2024-12-25 06:00:00
449,E4,SOLUSDT,4h,W3_NODIP,1735084800000,1735099200000,199.78,202.76500000000001,,1735444800000,195.93,SKIPPED_MAXOPEN,96.0,-207.71198318149936,0.0,0.0,447.6137002687041,True,2024-12-25 00:00:00,2024-12-25 04:00:00,2024-12-29 04:00:00
450,E2,BTCUSDT,30m,W1_NODIP,1735106400000,1735108200000,97958.9,98701.4,,1735120800000,98701.4,SKIPPED_MAXOPEN,3.5,60.797094495752816,0.0,0.0,447.6137002687041,True,2024-12-25 06:00:00,2024-12-25 06:30:00,2024-12-25 10:00:00
451,E1,SOLUSDT,30m,W2_NODIP,1735106400000,1735108200000,199.05,201.115,,1735453800000,196.25,SKIPPED_MAXOPEN,96.0,-155.6681738256725,0.0,0.0,447.6137002687041,True,2024-12-25 06:00:00,2024-12-25 06:30:00,2024-12-29 06:30:00
452,E3,ETHUSDT,1h,W2_NODIP,1735106400000,1735110000000,3485.48,3518.12,,1735120800000,3518.12,SKIPPED_MAXOPEN,3.0,78.64563847733992,0.0,0.0,447.6137002687041,True,2024-12-25 06:00:00,2024-12-25 07:00:00,2024-12-25 10:00:00
453,E1,SOLUSDT,30m,W2_NODIP,1735110000000,1735111800000,198.53,200.15499999999997,,1735120800000,200.15499999999997,SKIPPED_MAXOPEN,2.5,66.85160932856351,0.0,0.0,447.6137002687041,True,2024-12-25 07:00:00,2024-12-25 07:30:00,2024-12-25 10:00:00
454,E2,BTCUSDT,30m,W1_NODIP,1735110000000,1735111800000,98061.2,98463.5,,1735120800000,98463.5,SKIPPED_MAXOPEN,2.5,26.025400464200203,0.0,0.0,447.6137002687041,True,2024-12-25 07:00:00,2024-12-25 07:30:00,2024-12-25 10:00:00
455,E3,ETHUSDT,1h,W2_NODIP,1735110000000,1735113600000,3487.65,3512.5600000000004,,1735120800000,3512.5600000000004,TP,2.0,56.42345132109102,154.23,0.8702188897251868,817.082600795039,False,2024-12-25 07:00:00,2024-12-25 08:00:00,2024-12-25 10:00:00
456,E1,SOLUSDT,30m,W2_NODIP,1735120800000,1735122600000,199.14,201.135,,1735468200000,196.71,TIMEOUT,96.0,-137.02470623681722,153.2,-2.09921849954804,633.8982242242105,False,2024-12-25 10:00:00,2024-12-25 10:30:00,2024-12-29 10:30:00
457,E2,BTCUSDT,30m,W1_NODIP,1735120800000,1735122600000,98879.1,99568.79999999999,,1735160400000,99568.79999999999,TP,10.5,54.7518484694928,204.27,1.1184160086863295,665.0010168037253,False,2024-12-25 10:00:00,2024-12-25 10:30:00,2024-12-25 21:00:00
458,E3,ETHUSDT,1h,W2_NODIP,1735120800000,1735124400000,3513.08,3563.9700000000003,,1735470000000,3397.0,SKIPPED_MAXOPEN,96.0,-345.4223074908625,0.0,0.0,459.612600795039,True,2024-12-25 10:00:00,2024-12-25 11:00:00,2024-12-29 11:00:00
459,E4,SOLUSDT,4h,W3_NODIP,1735113600000,1735128000000,195.73,201.64999999999998,,1735473600000,195.05,SKIPPED_MAXOPEN,96.0,-49.741736064986384,0.0,0.0,459.612600795039,True,2024-12-25 08:00:00,2024-12-25 12:00:00,2024-12-29 12:00:00
460,E2,BTCUSDT,30m,W1_NODIP,1735129800000,1735131600000,98143.8,98904.6,,1735149600000,98904.6,SKIPPED_MAXOPEN,5.0,62.51890593190838,0.0,0.0,459.612600795039,True,2024-12-25 12:30:00,2024-12-25 13:00:00,2024-12-25 18:00:00
461,E2,BTCUSDT,30m,W1_NODIP,1735131600000,1735133400000,98289.7,98629.15,,1735135200000,98629.15,SKIPPED_MAXOPEN,0.5,19.535663452019605,0.0,0.0,459.612600795039,True,2024-12-25 13:00:00,2024-12-25 13:30:00,2024-12-25 14:00:00
462,E2,BTCUSDT,30m,W1_NODIP,1735153200000,1735155000000,98925.6,99316.35,,1735156800000,99316.35,SKIPPED_MAXOPEN,0.5,24.499381353259416,0.0,0.0,459.612600795039,True,2024-12-25 19:00:00,2024-12-25 19:30:00,2024-12-25 20:00:00
463,E2,BTCUSDT,30m,W1_NODIP,1735155000000,1735156800000,99001.3,99446.35,,1735160400000,99446.35,SKIPPED_MAXOPEN,1.0,29.953955150084177,0.0,0.0,459.612600795039,True,2024-12-25 19:30:00,2024-12-25 20:00:00,2024-12-25 21:00:00
