entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval,bh_sig
MKT,1.0,smaBelow,NOSL,0,PB_MKT,381,32.72,-7.6,69.9,0.942,0.097853,False
MKT,1.0,smaBelow,TIME,12,PB_MKT,381,-3.06,-38.8,30.6,0.85,0.431371,False
MKT,1.0,smaBelow,TIME,24,PB_MKT,381,4.65,-35.7,42.4,0.89,0.815307,False
MKT,1.0,smaBelow,TIME,48,PB_MKT,381,32.72,-7.6,69.9,0.942,0.097853,False
MKT,1.0,C3_w8q,NOSL,0,PB_MKT,300,30.3,-7.6,62.0,0.957,0.087492,False
MKT,1.0,C3_w8q,TIME,12,PB_MKT,300,2.01,-27.4,29.3,0.863,0.889695,False
MKT,1.0,C3_w8q,TIME,24,PB_MKT,300,12.59,-19.0,42.8,0.913,0.42399,False
MKT,1.0,C3_w8q,TIME,48,PB_MKT,300,30.3,-7.6,62.0,0.957,0.087492,False
MKT,1.0,C6_w9dip,NOSL,0,PB_MKT,195,78.66,41.2,113.2,0.949,1.9e-05,True
MKT,1.0,C6_w9dip,TIME,12,PB_MKT,195,30.51,-14.9,73.3,0.877,0.175132,False
MKT,1.0,C6_w9dip,TIME,24,PB_MKT,195,46.26,-1.1,86.8,0.908,0.039234,False
MKT,1.0,C6_w9dip,TIME,48,PB_MKT,195,78.66,41.2,113.2,0.949,1.9e-05,True
MKT,1.0,CQ7_w78q,NOSL,0,PB_MKT,137,5.05,-57.3,59.4,0.949,0.865168,False
MKT,1.0,CQ7_w78q,TIME,12,PB_MKT,137,-38.48,-88.6,10.2,0.847,0.063313,False
MKT,1.0,CQ7_w78q,TIME,24,PB_MKT,137,-13.61,-69.3,33.8,0.905,0.302384,False
MKT,1.0,CQ7_w78q,TIME,48,PB_MKT,137,5.05,-57.3,59.4,0.949,0.865168,False
MKT,1.5,ALL,NOSL,0,PB_MKT,839,70.79,38.5,99.7,0.902,6e-06,True
MKT,1.5,ALL,TIME,12,PB_MKT,839,33.87,10.7,57.9,0.785,0.004972,False
MKT,1.5,ALL,TIME,24,PB_MKT,839,51.93,23.8,78.9,0.853,0.000222,True
MKT,1.5,ALL,TIME,48,PB_MKT,839,70.79,38.5,99.7,0.902,6e-06,True
MKT,1.5,quiet,NOSL,0,PB_MKT,335,63.07,23.6,94.3,0.946,0.000472,True
MKT,1.5,quiet,TIME,12,PB_MKT,335,15.31,-17.0,45.9,0.818,0.339767,False
MKT,1.5,quiet,TIME,24,PB_MKT,335,48.36,13.7,77.9,0.901,0.003177,True
MKT,1.5,quiet,TIME,48,PB_MKT,335,63.07,23.6,94.3,0.946,0.000472,True
MKT,1.5,uwd78,NOSL,0,PB_MKT,334,36.45,-15.8,82.6,0.907,0.146636,False
MKT,1.5,uwd78,TIME,12,PB_MKT,334,0.66,-39.7,39.0,0.793,0.973728,False
MKT,1.5,uwd78,TIME,24,PB_MKT,334,14.67,-33.8,58.4,0.859,0.532581,False
MKT,1.5,uwd78,TIME,48,PB_MKT,334,36.45,-15.8,82.6,0.907,0.146636,False
MKT,1.5,uwd79,NOSL,0,PB_MKT,586,44.29,6.8,79.9,0.901,0.017526,True
MKT,1.5,uwd79,TIME,12,PB_MKT,586,19.66,-9.3,47.4,0.794,0.173783,False
MKT,1.5,uwd79,TIME,24,PB_MKT,586,26.78,-9.0,59.5,0.858,0.12524,False
MKT,1.5,uwd79,TIME,48,PB_MKT,586,44.29,6.8,79.9,0.901,0.017526,False
MKT,1.5,prevBear,NOSL,0,PB_MKT,373,79.19,34.9,123.6,0.914,0.000469,True
MKT,1.5,prevBear,TIME,12,PB_MKT,373,46.14,10.9,80.5,0.804,0.009342,False
MKT,1.5,prevBear,TIME,24,PB_MKT,373,68.75,28.8,109.4,0.871,0.000824,True
MKT,1.5,prevBear,TIME,48,PB_MKT,373,79.19,34.9,123.6,0.914,0.000469,True
MKT,1.5,smaBelow,NOSL,0,PB_MKT,381,58.75,10.0,106.7,0.919,0.017241,True
MKT,1.5,smaBelow,TIME,12,PB_MKT,381,16.16,-22.6,55.2,0.798,0.41553,False
MKT,1.5,smaBelow,TIME,24,PB_MKT,381,32.97,-12.3,77.1,0.858,0.148252,False
MKT,1.5,smaBelow,TIME,48,PB_MKT,381,58.75,10.0,106.7,0.919,0.017241,False
MKT,1.5,C3_w8q,NOSL,0,PB_MKT,300,68.07,28.6,102.8,0.947,0.000321,True
MKT,1.5,C3_w8q,TIME,12,PB_MKT,300,18.35,-14.9,50.5,0.817,0.271045,False
MKT,1.5,C3_w8q,TIME,24,PB_MKT,300,48.36,15.0,80.8,0.897,0.00401,False
MKT,1.5,C3_w8q,TIME,48,PB_MKT,300,68.07,28.6,102.8,0.947,0.000321,True
MKT,1.5,C6_w9dip,NOSL,0,PB_MKT,195,124.48,77.7,166.4,0.923,0.0,True
MKT,1.5,C6_w9dip,TIME,12,PB_MKT,195,64.39,11.9,113.7,0.826,0.013184,False
MKT,1.5,C6_w9dip,TIME,24,PB_MKT,195,95.69,42.4,142.7,0.887,0.000183,True
MKT,1.5,C6_w9dip,TIME,48,PB_MKT,195,124.48,77.7,166.4,0.923,0.0,True
MKT,1.5,CQ7_w78q,NOSL,0,PB_MKT,137,19.85,-50.4,82.3,0.927,0.557643,False
MKT,1.5,CQ7_w78q,TIME,12,PB_MKT,137,-30.93,-89.1,23.4,0.803,0.140586,False
MKT,1.5,CQ7_w78q,TIME,24,PB_MKT,137,4.69,-57.1,57.7,0.876,0.872878,False
MKT,1.5,CQ7_w78q,TIME,48,PB_MKT,137,19.85,-50.4,82.3,0.927,0.557643,False
