series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,pf,sig_maker
SOLUSDT-15m,CQ7_w78q,MKT,1.0,low,2153,-21.48,-14.48,-16.2,-12.9,0.478,0.48,False
SOLUSDT-15m,ALL,MKT,1.0,mid,13537,-19.88,-12.88,-13.9,-11.8,0.402,0.62,False
SOLUSDT-15m,quiet,MKT,1.0,mid,5502,-20.45,-13.45,-14.5,-12.3,0.389,0.5,False
SOLUSDT-15m,uwd78,MKT,1.0,mid,5420,-21.2,-14.2,-15.6,-12.8,0.463,0.58,False
SOLUSDT-15m,uwd79,MKT,1.0,mid,9476,-20.81,-13.81,-14.9,-12.6,0.432,0.59,False
SOLUSDT-15m,prevBear,MKT,1.0,mid,6572,-19.04,-12.04,-13.6,-10.5,0.422,0.64,False
SOLUSDT-15m,smaBelow,MKT,1.0,mid,5727,-19.2,-12.2,-14.0,-10.3,0.418,0.64,False
SOLUSDT-15m,C3_w8q,MKT,1.0,mid,4963,-20.38,-13.38,-14.6,-12.2,0.382,0.51,False
SOLUSDT-15m,C6_w9dip,MKT,1.0,mid,3109,-18.68,-11.68,-14.5,-8.7,0.382,0.67,False
SOLUSDT-15m,CQ7_w78q,MKT,1.0,mid,2153,-21.7,-14.7,-16.3,-13.2,0.432,0.45,False
SOLUSDT-15m,ALL,MKT,1.5,low,13537,-16.35,-9.35,-10.6,-7.9,0.396,0.8,False
SOLUSDT-15m,quiet,MKT,1.5,low,5502,-16.93,-9.93,-11.3,-8.6,0.399,0.71,False
SOLUSDT-15m,uwd78,MKT,1.5,low,5420,-17.91,-10.91,-12.6,-9.2,0.467,0.75,False
SOLUSDT-15m,uwd79,MKT,1.5,low,9476,-17.38,-10.38,-11.7,-8.9,0.434,0.76,False
SOLUSDT-15m,prevBear,MKT,1.5,low,6572,-15.2,-8.2,-10.2,-6.1,0.416,0.83,False
SOLUSDT-15m,smaBelow,MKT,1.5,low,5727,-15.3,-8.3,-10.6,-5.9,0.416,0.83,False
SOLUSDT-15m,C3_w8q,MKT,1.5,low,4963,-16.88,-9.88,-11.3,-8.5,0.388,0.71,False
SOLUSDT-15m,C6_w9dip,MKT,1.5,low,3109,-13.83,-6.83,-10.5,-2.9,0.373,0.89,False
SOLUSDT-15m,CQ7_w78q,MKT,1.5,low,2153,-18.41,-11.41,-13.4,-9.6,0.454,0.64,False
SOLUSDT-15m,ALL,MKT,1.5,mid,13537,-16.43,-9.43,-10.6,-8.2,0.367,0.78,False
SOLUSDT-15m,quiet,MKT,1.5,mid,5502,-17.05,-10.05,-11.3,-8.7,0.368,0.69,False
SOLUSDT-15m,uwd78,MKT,1.5,mid,5420,-17.78,-10.78,-12.4,-9.2,0.432,0.74,False
SOLUSDT-15m,uwd79,MKT,1.5,mid,9476,-17.26,-10.26,-11.6,-8.9,0.4,0.75,False
SOLUSDT-15m,prevBear,MKT,1.5,mid,6572,-15.58,-8.58,-10.4,-6.6,0.387,0.81,False
SOLUSDT-15m,smaBelow,MKT,1.5,mid,5727,-15.44,-8.44,-10.5,-6.2,0.386,0.81,False
SOLUSDT-15m,C3_w8q,MKT,1.5,mid,4963,-16.89,-9.89,-11.3,-8.5,0.361,0.7,False
SOLUSDT-15m,C6_w9dip,MKT,1.5,mid,3109,-14.5,-7.5,-10.8,-3.8,0.348,0.86,False
SOLUSDT-15m,CQ7_w78q,MKT,1.5,mid,2153,-18.61,-11.61,-13.4,-9.9,0.414,0.62,False
SOLUSDT-15m,ALL,PB,1.0,low,11944,-12.34,-5.34,-6.0,-4.6,0.171,0.86,False
SOLUSDT-15m,quiet,PB,1.0,low,4990,-12.41,-5.41,-6.0,-4.8,0.176,0.81,False
SOLUSDT-15m,uwd78,PB,1.0,low,4597,-11.52,-4.52,-5.6,-3.3,0.226,0.95,False
SOLUSDT-15m,uwd79,PB,1.0,low,8205,-12.28,-5.28,-6.1,-4.4,0.202,0.88,False
SOLUSDT-15m,prevBear,PB,1.0,low,5775,-11.85,-4.85,-5.8,-3.8,0.179,0.91,False
SOLUSDT-15m,smaBelow,PB,1.0,low,5065,-12.51,-5.51,-6.7,-4.2,0.187,0.85,False
SOLUSDT-15m,C3_w8q,PB,1.0,low,4531,-12.59,-5.59,-6.2,-4.9,0.165,0.78,False
SOLUSDT-15m,C6_w9dip,PB,1.0,low,2825,-11.94,-4.94,-6.5,-3.1,0.16,0.9,False
SOLUSDT-15m,CQ7_w78q,PB,1.0,low,1904,-12.18,-5.18,-6.3,-4.1,0.231,0.86,False
SOLUSDT-15m,ALL,PB,1.0,mid,11944,-12.26,-5.26,-5.7,-4.8,0.09,0.77,False
SOLUSDT-15m,quiet,PB,1.0,mid,4990,-12.27,-5.27,-5.6,-4.9,0.091,0.72,False
SOLUSDT-15m,uwd78,PB,1.0,mid,4597,-11.97,-4.97,-5.7,-4.2,0.124,0.85,False
SOLUSDT-15m,uwd79,PB,1.0,mid,8205,-12.19,-5.19,-5.7,-4.6,0.109,0.81,False
SOLUSDT-15m,prevBear,PB,1.0,mid,5775,-12.04,-5.04,-5.6,-4.4,0.098,0.81,False
SOLUSDT-15m,smaBelow,PB,1.0,mid,5065,-12.3,-5.3,-6.0,-4.5,0.099,0.78,False
SOLUSDT-15m,C3_w8q,PB,1.0,mid,4531,-12.38,-5.38,-5.8,-5.0,0.084,0.68,False
SOLUSDT-15m,C6_w9dip,PB,1.0,mid,2825,-12.11,-5.11,-6.1,-3.9,0.081,0.79,False
SOLUSDT-15m,CQ7_w78q,PB,1.0,mid,1904,-12.1,-5.1,-5.9,-4.3,0.127,0.79,False
SOLUSDT-15m,ALL,PB,1.5,low,11944,-12.03,-5.03,-5.8,-4.2,0.143,0.9,False
SOLUSDT-15m,quiet,PB,1.5,low,4990,-11.97,-4.97,-5.6,-4.3,0.149,0.88,False
SOLUSDT-15m,uwd78,PB,1.5,low,4597,-11.63,-4.63,-5.8,-3.3,0.191,0.95,False
SOLUSDT-15m,uwd79,PB,1.5,low,8205,-12.12,-5.12,-6.0,-4.2,0.171,0.9,False
SOLUSDT-15m,prevBear,PB,1.5,low,5775,-11.66,-4.66,-5.8,-3.4,0.148,0.93,False
SOLUSDT-15m,smaBelow,PB,1.5,low,5065,-12.07,-5.07,-6.4,-3.5,0.157,0.9,False
SOLUSDT-15m,C3_w8q,PB,1.5,low,4531,-12.18,-5.18,-5.9,-4.5,0.139,0.85,False
