series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-5m,prevBear,PB,1.5,mid,16871,-11.75,-4.75,-5.0,-4.5,0.056,False
SOLUSDT-5m,smaBelow,PB,1.5,mid,14943,-11.77,-4.77,-5.0,-4.5,0.061,False
SOLUSDT-5m,C3_w8q,PB,1.5,mid,13154,-11.82,-4.82,-5.0,-4.6,0.05,False
SOLUSDT-5m,C6_w9dip,PB,1.5,mid,8446,-11.69,-4.69,-5.0,-4.3,0.045,False
SOLUSDT-5m,CQ7_w78q,PB,1.5,mid,5676,-12.0,-5.0,-5.3,-4.7,0.076,False
SOLUSDT-5m,ALL,PB,1.5,NOSL,35230,-8.52,-1.52,-2.7,-0.2,0.833,False
SOLUSDT-5m,quiet,PB,1.5,NOSL,14669,-8.14,-1.14,-2.6,0.3,0.869,False
SOLUSDT-5m,uwd78,PB,1.5,NOSL,13677,-6.87,0.13,-1.8,1.9,0.85,False
SOLUSDT-5m,uwd79,PB,1.5,NOSL,24216,-7.56,-0.56,-2.0,0.8,0.844,False
SOLUSDT-5m,prevBear,PB,1.5,NOSL,16871,-7.81,-0.81,-2.7,1.0,0.844,False
SOLUSDT-5m,smaBelow,PB,1.5,NOSL,14943,-7.89,-0.89,-3.0,1.1,0.85,False
SOLUSDT-5m,C3_w8q,PB,1.5,NOSL,13154,-7.89,-0.89,-2.6,0.7,0.868,False
SOLUSDT-5m,C6_w9dip,PB,1.5,NOSL,8446,-8.75,-1.75,-4.9,1.3,0.843,False
SOLUSDT-5m,CQ7_w78q,PB,1.5,NOSL,5676,-7.38,-0.38,-2.6,1.9,0.884,False
SOLUSDT-15m,ALL,MKT,1.0,low,13537,-19.77,-12.77,-13.8,-11.7,0.435,False
SOLUSDT-15m,quiet,MKT,1.0,low,5502,-20.35,-13.35,-14.5,-12.2,0.426,False
SOLUSDT-15m,uwd78,MKT,1.0,low,5420,-21.13,-14.13,-15.6,-12.7,0.504,False
SOLUSDT-15m,uwd79,MKT,1.0,low,9476,-20.82,-13.82,-15.0,-12.6,0.471,False
SOLUSDT-15m,prevBear,MKT,1.0,low,6572,-18.75,-11.75,-13.4,-10.1,0.455,False
SOLUSDT-15m,smaBelow,MKT,1.0,low,5727,-19.1,-12.1,-14.0,-10.1,0.453,False
SOLUSDT-15m,C3_w8q,MKT,1.0,low,4963,-20.34,-13.34,-14.6,-12.2,0.415,False
SOLUSDT-15m,C6_w9dip,MKT,1.0,low,3109,-18.14,-11.14,-14.1,-8.0,0.414,False
SOLUSDT-15m,CQ7_w78q,MKT,1.0,low,2153,-21.48,-14.48,-16.2,-12.9,0.478,False
