row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E3,prev_green,color,2215,2215,177,1111,0.5673,0.5838,0.972,-1.7,0.583794,False,1288,927,41.9,177,1111,56.7,58.4,1.029,85.4,-1.3,11.91,-8.51,2.9,-8.64,32.01,False,False,
E3,rr,color,2215,2215,74,313,0.2372,0.1645,1.442,7.3,0.001721,True,387,1828,82.5,74,313,23.7,16.4,0.693,87.0,0.2,22.88,2.46,2.5,10.27,35.17,False,False,
E3,rg,color,2215,2215,89,493,0.2853,0.2591,1.101,2.6,0.329906,False,582,1633,73.7,89,493,28.5,25.9,0.908,86.3,-0.4,13.93,-6.49,3.7,-1.01,28.46,False,False,
E3,gr,color,2215,2215,60,479,0.1923,0.2517,0.764,-5.9,0.023426,True,539,1676,75.7,60,479,19.2,25.2,1.309,85.0,-1.8,22.2,1.77,2.4,7.68,35.76,False,False,
E3,gg,color,2215,2215,88,617,0.2821,0.3242,0.87,-4.2,0.138256,False,705,1510,68.2,88,617,28.2,32.4,1.15,85.2,-1.6,22.29,1.87,3.0,7.28,36.14,False,False,
E3,rvol_ge_1_3,volume,2215,2207,244,1300,0.7821,0.686,1.14,9.6,0.000606,True,1544,671,30.3,244,1300,78.2,68.3,0.874,89.9,3.1,20.72,0.3,1.5,-0.36,39.13,False,False,
E3,rvol_ge_2_0,volume,2215,2207,182,836,0.5833,0.4412,1.322,14.2,3e-06,True,1018,1197,54.0,182,836,58.3,43.9,0.753,89.1,2.4,19.13,-1.3,2.3,3.77,33.65,False,False,
E3,rvol_top_q,volume,2215,2207,97,345,0.3109,0.1821,1.708,12.9,0.0,True,442,1773,80.0,97,345,31.1,18.1,0.583,87.9,1.1,18.04,-2.38,3.4,5.02,30.67,False,True,
E3,prev_rvol_ge_2_0,volume,2215,2207,105,626,0.3365,0.3303,1.019,0.6,0.829413,False,731,1484,67.0,105,626,33.7,32.9,0.977,86.1,-0.7,17.8,-2.62,2.3,3.82,32.05,False,False,
E3,event_vol_gt_prev,volume,2215,2215,232,1170,0.7436,0.6148,1.209,12.9,1.2e-05,True,1402,813,36.7,232,1170,74.4,61.5,0.827,90.2,3.4,36.45,16.03,1.6,19.19,52.12,False,False,
